,Sector,Weight(%),Market Cap
0,Communication Services,0.0,"1,221,930"
1,Communication Services,0.0,"1,578,960"
2,Communication Services,0.0,"2,565,260"
3,Communication Services,0.0,"2,593,090"
4,Communication Services,0.0,"2,905,890"
5,Communication Services,0.0,"3,213,380"
6,Communication Services,0.0,"3,578,780"
7,Communication Services,0.0,"3,800,980"
8,Communication Services,0.0,"4,080,040"
9,Communication Services,0.0,"4,599,670"
10,Communication Services,0.0,"4,662,160"
11,Communication Services,0.0,"4,857,880"
12,Communication Services,0.0,"587,630"
13,Communication Services,0.0,"6,028,640"
14,Communication Services,0.0,"6,980,590"
15,Communication Services,0.0,"685,863"
16,Communication Services,0.0,"7,350,000"
17,Communication Services,0.0,"7,425,380"
18,Communication Services,0.0,"8,393,370"
19,Communication Services,0.0,"8,861,560"
20,Communication Services,0.001,"10,595,700"
21,Communication Services,0.001,"11,572,600"
22,Communication Services,0.001,"12,105,400"
23,Communication Services,0.001,"12,601,600"
24,Communication Services,0.001,"13,479,500"
25,Communication Services,0.001,"14,252,400"
26,Communication Services,0.001,"14,428,300"
27,Communication Services,0.001,"17,951,800"
28,Communication Services,0.001,"21,234,500"
29,Communication Services,0.002,"32,431,700"
30,Communication Services,0.002,"36,633,000"
31,Communication Services,0.002,"37,255,400"
32,Communication Services,0.002,"42,935,900"
33,Communication Services,0.002,"47,791,200"
34,Communication Services,0.003,"50,234,000"
35,Communication Services,0.003,"50,646,900"
36,Communication Services,0.003,"51,206,800"
37,Communication Services,0.005,"100,040,000"
38,Communication Services,0.005,"104,151,000"
39,Communication Services,0.005,"88,264,400"
40,Communication Services,0.006,"119,962,000"
41,Communication Services,0.006999999999999999,"132,271,000"
42,Communication Services,0.008,"157,734,000"
43,Communication Services,0.011000000000000001,"213,038,000"
44,Communication Services,0.013000000000000001,"256,832,000"
45,Communication Services,0.016,"316,223,000"
46,Communication Services,0.017,"331,886,000"
47,Communication Services,0.023,"441,163,000"
48,Communication Services,0.032,"612,501,000"
49,Communication Services,0.043,"831,242,000"
50,Communication Services,0.065,"1,241,210,000"
51,Communication Services,0.08,"1,530,770,000"
52,Communication Services,0.126,"2,430,190,000"
53,Communication Services,0.18100000000000002,"3,484,940,000"
54,Communication Services,0.609,"11,726,600,000"
55,Consumer Discretionary,0.0,"1,346,800"
56,Consumer Discretionary,0.0,"1,511,660"
57,Consumer Discretionary,0.0,"1,858,340"
58,Consumer Discretionary,0.0,"2,567,230"
59,Consumer Discretionary,0.0,"3,213,270"
60,Consumer Discretionary,0.0,"3,479,980"
61,Consumer Discretionary,0.0,"4,280,940"
62,Consumer Discretionary,0.0,"4,297,680"
63,Consumer Discretionary,0.0,"4,439,000"
64,Consumer Discretionary,0.0,"428,630"
65,Consumer Discretionary,0.0,"5,692,280"
66,Consumer Discretionary,0.0,"5,790,370"
67,Consumer Discretionary,0.0,"6,350,860"
68,Consumer Discretionary,0.0,"6,559,410"
69,Consumer Discretionary,0.0,"6,649,940"
70,Consumer Discretionary,0.0,"7,069,990"
71,Consumer Discretionary,0.0,"7,212,410"
72,Consumer Discretionary,0.0,"7,429,570"
73,Consumer Discretionary,0.0,"7,518,000"
74,Consumer Discretionary,0.0,"8,341,270"
75,Consumer Discretionary,0.0,"8,892,000"
76,Consumer Discretionary,0.0,"9,221,730"
77,Consumer Discretionary,0.0,"9,500,000"
78,Consumer Discretionary,0.001,"10,829,300"
79,Consumer Discretionary,0.001,"11,017,800"
80,Consumer Discretionary,0.001,"11,163,900"
81,Consumer Discretionary,0.001,"11,517,500"
82,Consumer Discretionary,0.001,"11,561,200"
83,Consumer Discretionary,0.001,"11,716,600"
84,Consumer Discretionary,0.001,"12,612,200"
85,Consumer Discretionary,0.001,"13,073,200"
86,Consumer Discretionary,0.001,"16,193,200"
87,Consumer Discretionary,0.001,"16,638,100"
88,Consumer Discretionary,0.001,"16,948,700"
89,Consumer Discretionary,0.001,"19,103,200"
90,Consumer Discretionary,0.001,"22,602,000"
91,Consumer Discretionary,0.001,"22,642,300"
92,Consumer Discretionary,0.001,"24,134,000"
93,Consumer Discretionary,0.001,"24,669,800"
94,Consumer Discretionary,0.001,"26,694,800"
95,Consumer Discretionary,0.001,"26,751,700"
96,Consumer Discretionary,0.001,"28,825,700"
97,Consumer Discretionary,0.002,"32,364,400"
98,Consumer Discretionary,0.002,"33,003,900"
99,Consumer Discretionary,0.002,"36,142,700"
100,Consumer Discretionary,0.002,"39,931,700"
101,Consumer Discretionary,0.002,"40,198,600"
102,Consumer Discretionary,0.002,"43,740,200"
103,Consumer Discretionary,0.002,"45,129,000"
104,Consumer Discretionary,0.002,"45,792,900"
105,Consumer Discretionary,0.002,"46,854,100"
106,Consumer Discretionary,0.003,"48,748,300"
107,Consumer Discretionary,0.003,"49,305,400"
108,Consumer Discretionary,0.003,"50,042,200"
109,Consumer Discretionary,0.003,"50,108,100"
110,Consumer Discretionary,0.003,"50,260,700"
111,Consumer Discretionary,0.003,"50,984,000"
112,Consumer Discretionary,0.003,"52,802,100"
113,Consumer Discretionary,0.003,"55,011,200"
114,Consumer Discretionary,0.003,"55,183,400"
115,Consumer Discretionary,0.003,"65,718,000"
116,Consumer Discretionary,0.004,"76,515,800"
117,Consumer Discretionary,0.004,"81,673,000"
118,Consumer Discretionary,0.004,"85,013,100"
119,Consumer Discretionary,0.004,"86,132,500"
120,Consumer Discretionary,0.005,"100,575,000"
121,Consumer Discretionary,0.005,"102,687,000"
122,Consumer Discretionary,0.005,"104,613,000"
123,Consumer Discretionary,0.005,"87,557,200"
124,Consumer Discretionary,0.006,"105,900,000"
125,Consumer Discretionary,0.006,"106,913,000"
126,Consumer Discretionary,0.006,"110,514,000"
127,Consumer Discretionary,0.006,"117,888,000"
128,Consumer Discretionary,0.006999999999999999,"131,754,000"
129,Consumer Discretionary,0.006999999999999999,"132,705,000"
130,Consumer Discretionary,0.006999999999999999,"135,721,000"
131,Consumer Discretionary,0.006999999999999999,"136,011,000"
132,Consumer Discretionary,0.006999999999999999,"137,054,000"
